NREGION,NPROVINCE,NDISTRICT,NVILL_SECT,NCOMMUNE,NOM,Name of HF as it appears in the HF-level data base ,remarks,POINT_X,POINT_Y,Statut
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,2,TOUGAN,CSPS URBAIN DE TOUGAN,CSPS TOUGAN ,,-3.0585,13.07047222,51
CASCADES,COMOE,BANFORA,BOUNOUNA,BANFORA,CSPS DE BOUNOUNA,CSPS BOUNOUNA,,-4.732944444,10.66225,51
CASCADES,COMOE,BANFORA,DIARABAKOKO,BANFORA,CSPS DE DIARABAKOKO,CSPS DIABAROKOKO,,-4.778,10.46466667,51
CASCADES,COMOE,BANFORA,SECTEUR 6,BANFORA,CSPS DE FLANTAMA,CSPS FLANTAMA,,-4.751111111,10.63402778,51
CASCADES,COMOE,BANFORA,KARFIGUELA,BANFORA,CSPS DE KARFIGUELA,CSPS KARFIGUÉLA,,-4.8145,10.69472222,51
CASCADES,COMOE,BANFORA,NAFONA,BANFORA,CSPS DE NAFONA,CSPS NAFONA,,-4.764305556,10.66891667,51
CASCADES,COMOE,BANFORA,SINIENA,BANFORA,CSPS DE SINIENA,CSPS SINIÈNA,,-4.77275,10.54066667,51
CASCADES,COMOE,BANFORA,TAKALEDOUGOU,BANFORA,CSPS DE TAKALEDOUGOU,CSPS TAKALEDOUGOU,,-4.724222222,10.77308333,51
CASCADES,COMOE,BANFORA,TARFILA,BANFORA,CSPS DE TARFILA,CSPS TARFILA,,-4.72225,10.71136111,51
CASCADES,COMOE,BANFORA,TIEKOURA,BANFORA,CSPS DE TIEKOURA,CSPS TIÉKOUNA,,-4.808694444,10.63080556,51
CASCADES,COMOE,BANFORA,TOUMOUSSENI,BANFORA,CSPS DE TOUMOUSSENI,CSPS TOUMOUSSÉNI,,-4.906666667,10.62680556,51
CASCADES,COMOE,BANFORA,SECTEUR 8,BANFORA,CSPS DU SECTEUR 8 DE BANFORA,CSPS SECTEUR 8 BANFORA,,-4.774,10.64797222,51
CASCADES,COMOE,BANFORA,SECTEUR N_1,DE BANFORA,CHR DE BANFORA,CM URBAIN DE BANFORA,,-4.763111111,10.63763889,2
CASCADES,COMOE,BANFORA,TENGRELA,DE BANFORA,CSPS DE TENGRELA,CSPS TENGRELA,,-4.831083333,10.65838889,51
CASCADES,COMOE,BANFORA,BEREGADOUGOU SECTEUR 4,DE BEREGADOUGOU,CSPS DE BEREDOUGOU,CSPS BÉRÉGADOUGOU,,-4.741416667,10.77225,51
CASCADES,COMOE,BANFORA,MOUSSODOUGOU,MOUSSODOUGOU,CSPS DE MOUSSODOUGOU,CSPS MOUSSODOUGOU,,-4.931944444,10.83111111,51
CASCADES,COMOE,BANFORA,MONDON,MOUSSODOUGOU,CSPS SOCIALE DE MONDON,CSPS MONDON,,-4.823694444,10.85411111,51
CASCADES,COMOE,BANFORA,SECTEUR,NIANGOLOGO,CSPS DU SECTEUR 5 NIANGOLOKO,CSPS SECTEUR 5 NIANGOLOKO,,-4.926027778,10.27797222,51
CASCADES,COMOE,BANFORA,SECTEUR,NIANGOLOKO,CENTRE MEDICAL DE NIANGOLOKO,CM NIANGOLOKO,repeat,-4.915694444,10.27330556,4
CASCADES,COMOE,BANFORA,SECTEUR,NIANGOLOKO,CENTRE MEDICAL DE NIANGOLOKO,CM NIANGOLOKO,,-4.915694444,10.27330556,4
CASCADES,COMOE,BANFORA,NOFESSO,NIANGOLOKO,CPS DE NOFESSO,CSPS NOFESSO,,-4.782805556,10.13725,51
CASCADES,COMOE,BANFORA,FOLONZO,NIANGOLOKO,CSPS DE FOLONZO,CSPS FOLONZO,,-4.680277778,9.961111111,51
CASCADES,COMOE,BANFORA,KOUTOURA,NIANGOLOKO,CSPS DE KOUTOURA,CSPS KOUTOURA,,-4.831111111,10.35644444,51
CASCADES,COMOE,BANFORA,OUANGOLODOUGOU,NIANGOLOKO,CSPS DE OUANGOLODOUGOU,CSPS OUANGOLODOUGOU,,-4.8055,10.07061111,51
CASCADES,COMOE,BANFORA,TIMBERBA,NIANGOLOKO,CSPS DE TIMBERBA,CSPS TIMPERBA,,-4.899722222,10.16497222,51
CASCADES,COMOE,BANFORA,YENDERE,NIANGOLOKO,CSPS DE YENDERE,CSPS YENDÉRÉ,,-4.973277778,10.21102778,51
CASCADES,COMOE,BANFORA,SECTEUR 3,NIANGOLOKO,CSPS DU SECT 3 DE NIANGOLOKO,CSPS SECTEUR 3 NIANGOLOKO,repeat,-4.916694444,10.28736111,51
CASCADES,COMOE,BANFORA,SECTEUR 3,NIANGOLOKO,CSPS DU SECT 3 DE NIANGOLOKO,CSPS SECTEUR 3 NIANGOLOKO,,-4.916694444,10.28736111,51
CASCADES,COMOE,BANFORA,GOUINDOUGOUBA,SOUBAKANIEDOUGOU,CSPS DE GOUINDOUGOUBA,CSPS GOUINDOUGOUBA,,-5.084027778,10.54558333,51
CASCADES,COMOE,BANFORA,PANGA,SOUBAKANIEDOUGOU,CSPS DE PANGA,CSPS PANGA,,-4.967638889,10.36680556,51
CASCADES,COMOE,BANFORA,SOUBAKANIEDOUGOU,SOUBAKANIEDOUGOU,CSPS SOUBAKANIEDOUGOU,CM SOUBAKIÉNÉDOUGOU,,-5.0015,10.46880556,4
CASCADES,COMOE,BANFORA,BOUSSANRA,TIEFORA,CSPS DE BOUSSANRA,CSPS BOUSSANRA,,-4.505416667,10.44352778,51
CASCADES,COMOE,BANFORA,DRAMANDOUGOU,TIEFORA,CSPS DE DRAMANDOUGOU,CSPS DRAMANDOUGOU,,-4.534138889,10.8375,51
CASCADES,COMOE,BANFORA,KANGOUNADENI,TIEFORA,CSPS DE KANGOUNADENI,CSPS KANKOUNADÉNI,,-4.613416667,10.47844444,51
CASCADES,COMOE,BANFORA,LABOLA,TIEFORA,CSPS DE LABOLA,CSPS LABOLA,,-4.634861111,10.6395,51
CASCADES,COMOE,BANFORA,TIEFORA,TIEFORA,CSPS DE TIEFORA,CSPS TIÉFORA,,-4.553555556,10.62422222,51
CASCADES,COMOE,MANGODARA,DIAYA,MANGODARA,CSPS DE DIAYA,CSPS DIAYA,,-4.41,9.766611111,51
CASCADES,COMOE,MANGODARA,KOFLANDE,MANGODARA,CSPS DE KOFLANDE,CSPS KOFLANDÉ,,-4.420805556,10.22883333,51
CASCADES,COMOE,MANGODARA,MANGODARA,MANGODARA,CSPS DE MANGODARA,CSPS MANGODARA,,-4.360138889,9.904222222,51
CASCADES,COMOE,MANGODARA,SIRAKORO,MANGODARA,CSPS DE SIRAKORO,CSPS SIRAKORO,,-4.384,9.796361111,51
CASCADES,COMOE,MANGODARA,NOUMOUTIEDOUGOU,MANGODARA,CSPS NOUMOUTIEDOUGOU,CSPS NOUMOUTIÉDOUGOU,,-4.279472222,9.91725,51
CASCADES,COMOE,MANGODARA,NORKAMA,OUO,CSPS DE NORKAMA,CSPS NORKAMA,,-3.726333333,10.68633333,51
CASCADES,COMOE,MANGODARA,OUO,OUO,CSPS DE OUO,CSPS OUO,,-3.846694444,10.39930556,51
CASCADES,COMOE,MANGODARA,DEREGOUE I,SIDERADOUGOU,CSPS DE DEREGOUE,CSPS DÉRÉGOUÉ,,-4.086472222,10.75613889,51
CASCADES,COMOE,MANGODARA,FARADJAN,SIDERADOUGOU,CSPS DE FARADJAN,CSPS FARADJAN,,-4.200472222,10.37416667,51
CASCADES,COMOE,MANGODARA,KOUENDI,SIDERADOUGOU,CSPS DE KOUENDI,CSPS KOUENDI,,-4.119972222,10.30508333,51
CASCADES,COMOE,MANGODARA,KOUERE,SIDERADOUGOU,CSPS DE KOUERE,CSPS KOUÉRÉ,,-4.000444444,10.46333333,51
CASCADES,COMOE,MANGODARA,SIDERADOUGOU,SIDERADOUGOU,CSPS DE SIDERADOUGOU,CM SIDÉRADOUGOU,,-4.253194444,10.67697222,4
CASCADES,LERABA,SINDOU,DAKORO,DAKORO,CSPS DE DAKORO,CSPS DAKORO,,-5.152138889,10.45827778,51
CASCADES,LERABA,SINDOU,DOUNA,DOUNA,CSPS DE DOUNA,CSPS DOUNA,,-5.105722222,10.61347222,51
CASCADES,LERABA,SINDOU,MANEGA,DOUNA,CSPS DE MANENA,CSPS MANÉNA,,-5.124583333,10.5995,51
CASCADES,LERABA,SINDOU,BOUGOULA,KANKALABA,CSPS DE BOUGOULA,CSPS BOUGOULA,,-5.230527778,10.78063889,51
CASCADES,LERABA,SINDOU,KANIAGARA,KANKALABA,CSPS DE KANIAGARA,CSPS KANIAGARA,,-5.33075,10.77622222,51
CASCADES,LERABA,SINDOU,KANKALABA,KANKALABA,CSPS DE KANKALABA,CSPS KANKALABA,,-5.286138889,10.75705556,51
CASCADES,LERABA,SINDOU,BAGUERA,LOUMANA,CSPS DE BAGUERA,CSPS BAGUERA,,-5.409527778,10.52625,51
CASCADES,LERABA,SINDOU,KAFINA,LOUMANA,CSPS DE KAFINA,CSPS KAFINA,,-5.471138889,10.42961111,51
CASCADES,LERABA,SINDOU,KANGOURA,LOUMANA,CSPS DE KANGOURA,CSPS KANGOURA,,-5.278277778,10.54186111,51
CASCADES,LERABA,SINDOU,LOUMANA,LOUMANA,CSPS DE LOUMANA,CSPS LOUMANA,,-5.354694444,10.57663889,51
CASCADES,LERABA,SINDOU,NEGUENI,LOUMANA,CSPS DE NEGUENI,CSPS NEGUENI,,-5.41725,10.65261111,51
CASCADES,LERABA,SINDOU,NIANSOGONI,LOUMANA,CSPS DE NIANSOGONI,CSPS NIANSOGNI,,-5.423972222,10.58258333,51
CASCADES,LERABA,SINDOU,ZEGUEDOUGOU,LOUMANA,CSPS DE ZEGUEDOUGOU,CSPS ZÉGUÉDOUGOU,,-5.441,10.46438889,51
CASCADES,LERABA,SINDOU,KAWOLO,NIANKORODOUGOU,CSPS DE KAWOLO,CSPS KAWOLO,,-5.365555556,10.47719444,51
CASCADES,LERABA,SINDOU,NERFOUNDOUGOU,NIANKORODOUGOU,CSPS DE NERFOUNDOUGOU,CSPS NERFOUNDOUGOU,,-5.253166667,10.41758333,51
CASCADES,LERABA,SINDOU,NIANKORODOUGOU,NIANKORODOUGOU,CSPS DE NIANKORODOUGOU,CM NIANKORODOUGOU,,-5.296416667,10.45541667,51
CASCADES,LERABA,SINDOU,ZEGNEDOUGOU,NIANKORODOUGOU,CSPS DE ZEGNEDOUGOU,CSPS ZÉGNÉDOUGOU,,-5.419444444,10.39061111,51
CASCADES,LERABA,SINDOU,FOURKOURA,NIANKOUDOUGOU,CSPS DE FOURKOURA,CSPS FOUKOURA,,-5.3705,10.33388889,51
CASCADES,LERABA,SINDOU,KOBADAH,OUELENI,CSPS DE KOBADAH,CSPS KOBADAH,,-5.345083333,10.90027778,51
CASCADES,LERABA,SINDOU,OUELENI,OUELENI,CSPS DE OUELENI,CSPS OUELÉNI,,-5.346333333,10.84205556,51
CASCADES,LERABA,SINDOU,OUTILA,OUELENI,CSPS DE OUTILA,CSPS OUTILA,,-5.434,10.99311111,51
CASCADES,LERABA,SINDOU,SARKANDIALA,OUELENI,CSPS DE SARKANDIALA,CSPS SARKANDJALA,,-5.305305556,10.90502778,61
CASCADES,LERABA,SINDOU,TENAKOUROU,OUELENI,CSPS DE TENAKOUROU,CSPS TÉNA,,-5.402361111,10.76041667,51
CASCADES,LERABA,SINDOU,SINDOU,SINDOU,CMA DE SINDOU,CMA SINDOU,,-5.169305556,10.65286111,3
CASCADES,LERABA,SINDOU,KONADOUGOU,SINDOU,CSPS DE KONADOUGOU,CSPS KONADOUGOU,,-5.178861111,10.58822222,51
CASCADES,LERABA,SINDOU,TOURNY,SINDOU,CSPS DE TOURNY,CSPS TOURNY,,-5.160027778,10.76480556,51
CASCADES,LERABA,SINDOU,URBAIN,SINDOU,CSPS URBAIN DE SINDOU,CSPS SINDOU URBAIN,,-5.165861111,10.65552778,51
CASCADES,LERABA,SINDOU,MALON,WOLOKONTO,CSPS DE MALON,CSPS MALON,,-5.011416667,10.76025,51
CASCADES,LERABA,SINDOU,WOLONKOTO,WOLONKOTO,CSPS DE WOLONKOTO,CSPS WOLOKONTO ,,-4.979916667,10.67080556,51
CENTRE,KADIO,BOGODOGO,SECTEUR 28,OUAGADOUGOU,CSPS DE DASSASGHO SECTEUR 28,CSPS DASSASGHO,,-1.4825,12.38444444,51
CENTRE,KADIOGO,BASKUY,SECTEUR 11,BASKUY,DISPENSAIRE DE LARLE,DISPENSAIRE LARLÉ,,-1.543055556,12.3725,61
CENTRE,KADIOGO,BASKUY,SECTEUR 07,OUAGADOUGOU,CENTRE MEDICAL SAMANDIN,CM SAMADIN,,-1.532777778,12.34972222,4
CENTRE,KADIOGO,BASKUY,SECTEUR 9,OUAGADOUGOU,CM GOUNGHIN,CM GOUNGHIN,,-1.5494,12.356,4
CENTRE,KADIOGO,BASKUY,SECTEUR 1,OUAGADOUGOU,CM URBAIN,CM URBAIN (DS BASKUY),,-1.531388889,12.37138889,4
CENTRE,KADIOGO,BASKUY,SECTEUR N_11,OUAGADOUGOU,CSPS DE POGBI,CM POGBI,,-1.533888889,12.38055556,51
CENTRE,KADIOGO,BASKUY,3,OUAGADOUGOU,CSPS DU SECTEUR 03,CSPS SECTEUR 3 OUAGADOUGOU,,-1.540555556,12.36,61
CENTRE,KADIOGO,BASKUY,8,OUAGADOUGOU,CSPS DU SECTEUR 08,CMU SECTEUR 8 OUAGADOUGOU,,-2.383305556,12.24788889,51
CENTRE,KADIOGO,BASKUY,SECTEUR 10,OUAGADOUGOU,CSPS DU SECTEUR 10,CSPS SECTEUR 10 OUAGADOUGOU,,-1.553055556,12.37777778,51
CENTRE,KADIOGO,BASKUY,SECTEUR 12,OUAGADOUGOU,CSPS DU SECTEUR 12,CSPS SECTEUR 12 OUAGADOUGOU,,-1.533611111,12.38083333,51
CENTRE,KADIOGO,BASKUY,SECTEUR N_6,OUAGADOUGOU,MATERNITE YENNENGA,,missing?,-1.5188,12.3534,4
CENTRE,KADIOGO,BOGODOGO,DAYONGO,BOGODOGO,CSPS DE DAYONGO,CSPS DE DAYONGO,,-1.442944444,12.31413889,51
CENTRE,KADIOGO,BOGODOGO,KOUBRI,KOUBRI,CSPS DE KOUBRI = CSPS NAGBANGR,CSPS NAGBANGRÉ,,-1.4005,12.18905556,51
CENTRE,KADIOGO,BOGODOGO,PEELE,KOUBRI,CSPS DE PEELE,CSPS PÉLÉ,,-1.190666667,12.26875,51
CENTRE,KADIOGO,BOGODOGO,PIKIEKO,KOUBRI,CSPS DE PIKIEKO,CSPS PIKIÉKO,,-1.118444444,12.25316667,51
CENTRE,KADIOGO,BOGODOGO,SINSINGUENE,KOUBRI,CSPS DE SINSINGUENE,CSPS SINSINGUENI,,-1.292472222,12.26613889,51
CENTRE,KADIOGO,BOGODOGO,TANSABLOGO,KOUBRI,CSPS DE TANSABLOGO,CSPS TANSABLOGHO,,-1.160666667,12.19586111,51
CENTRE,KADIOGO,BOGODOGO,SECTEUR 30,OUAGADOUGOU,CMA DU SECTEUR 30,CSPS SECTEUR 30,repeat,-1.5025,12.33777778,3
CENTRE,KADIOGO,BOGODOGO,BALKUY,OUAGADOUGOU,CSPS DE BALKUY,CSPS BALKOUI,,-1.455472222,12.29033333,51
CENTRE,KADIOGO,BOGODOGO,SECTEUR 30,OUAGADOUGOU,CSPS DE NONGTAABA,CSPS NONGTABA,,-1.479138889,12.30797222,51
CENTRE,KADIOGO,BOGODOGO,YAMTENGA,OUAGADOUGOU,CSPS DE YAMTENGA,CSPS YAMTENGA,,-1.450027778,12.33486111,51
CENTRE,KADIOGO,BOGODOGO,30,OUAGADOUGOU,CSPS DU SECTEUR 30,CSPS SECTEUR 30,repeat,-1.480277778,12.34405556,51
CENTRE,KADIOGO,BOGODOGO,SECTEUR N_15,OUAGADOUGOU,CSPS TRAME D'ACCUEIL OUAGA2000,CSPS TRAME D'ACCUEIL OUAGA 2000,,-1.488416667,12.30758333,51
CENTRE,KADIOGO,BOGODOGO,SECTEUR 28,OUAGADOUGOU,CSPS TRAME D'ACCUEIL SECT 28,CSPS TRAME D'ACCUEIL  SECTEUR 28 OUAGA,,-1.459444444,12.38333333,51
CENTRE,KADIOGO,BOGODOGO,SECTEUR 30,OUAGADOUGOU,CSPS TRAME D'ACCUEIL SECTEUR30,CSPS TRAME D'ACCUEIL DU SECTEUR 30,,-1.462444444,12.31647222,51
CENTRE,KADIOGO,BOGODOGO,SECTEUR 29,OUAGADOUGOU,CSPS WEMTENGA,CSPS WEMTENGA,,-1.490833333,12.37055556,51
CENTRE,KADIOGO,BOGODOGO,DIBRI,RURALE DE KOUBRI,CSPS DE DIBRI,CSPS DIDRI,,-1.259972222,12.20241667,51
CENTRE,KADIOGO,BOGODOGO,SAABA,SAABA,CENTRE MEDICAL DE SAABA,CM SAABA,,-1.4425,12.3925,4
CENTRE,KADIOGO,BOGODOGO,GAMPELA,SAABA,CSPS DE GAMPELA,CSPS GAMPÉLA,,-1.3925,12.4275,51
CENTRE,KADIOGO,BOGODOGO,GONSE,SAABA,CSPS DE GONSE,CSPS GONSÉ,,-1.322777778,12.45888889,51
CENTRE,KADIOGO,BOGODOGO,KOALA,SAABA,CSPS DE KOALA,CSPS KOALA,,-1.260277778,12.38805556,51
CENTRE,KADIOGO,BOGODOGO,MANEGSONBO,SAABA,CSPS DE MANEGSONBO,CSPS MANEGSOMBO,,-1.322777778,12.45888889,51
CENTRE,KADIOGO,BOGODOGO,NIOKO,SAABA,CSPS DE NIOKO1,CSPS DE NIOKO 1,,-1.4425,12.3925,51
CENTRE,KADIOGO,BOGODOGO,TANGHIN,SAABA,CSPS DE TANGHIN,CM TANGHIN DASSOURI,similar name,-0.656777778,12.35691667,51
CENTRE,KADIOGO,BOGODOGO,TANLARGHIN,SAABA,CSPS DE TANLARGHIN,CSPS TANLARGHIN,,-1.3845,12.29777778,51
CENTRE,KADIOGO,BOGODOGO,TANSOBINTENGA,SAABA,CSPS TANSOBINTENGA,CSPS TANSOBTENGA,,-1.395833333,12.34638889,51
CENTRE,KADIOGO,BOGODOGO,NIOKO 1,SAABA,CSPS WENNENFAAGDE,,missing?,-1.432138889,12.40727778,51
CENTRE,KADIOGO,BOULMIOUGOU,,BOULMIOUGOU,CSPS DE DAYOUBSI,CSPS DAYOUBSI,,-1.603916667,12.23597222,51
CENTRE,KADIOGO,BOULMIOUGOU,secteur 17,BOULMIOUGOU,CSPS DE KOMSILGA,CSPS KOMSILGA,,-1.635472222,12.17827778,51
CENTRE,KADIOGO,BOULMIOUGOU,SECTEUR N_16,BOULMIOUGOU,CSPS DE TENGANDOGO,CSPS TINGANDOGO,similar name,-1.53075,12.26997222,51
CENTRE,KADIOGO,BOULMIOUGOU,YAOGHIN,BOULMIOUGOU,CSPS DE YAOGHIN,CSPS YAOGHIN,,-1.743527778,12.19608333,51
CENTRE,KADIOGO,BOULMIOUGOU,SECTEUR 18,BOULMIOUGOU,CSPS DU SECTEUR 18,CSPS SECTEUR 18 OUAGADOUGOU,similar name,-1.580555556,12.34777778,51
CENTRE,KADIOGO,BOULMIOUGOU,SECTEUR 19,BOULMIOUGOU,CSPS SECTEUR 19,CSPS SECTEUR 19 OUAGADOUGOU,similar name,-1.563055556,12.37641667,51
CENTRE,KADIOGO,BOULMIOUGOU,,BOULMIOUGOU,DISPENSAIRE CISSIN 17,CSPS CISSIN 17,,-1.549583333,12.33627778,51
CENTRE,KADIOGO,BOULMIOUGOU,LAO,KOMKI-IPALA,CSPS DE LAO,CSPS LAO,,-1.696416667,12.21797222,51
CENTRE,KADIOGO,BOULMIOUGOU,TAMPOUSSOUMDI,KOMKI-IPALA,CSPS DE TAMPOUSSOUMDI,CSPS TAMPOUSSOUMDI,,-1.678972222,12.18102778,51
CENTRE,KADIOGO,BOULMIOUGOU,BASSEMYAM,KOMSILGA,CSPS DE BASSEMYAM,CSPS BASSEMYAM,,-1.543888889,12.20905556,51
CENTRE,KADIOGO,BOULMIOUGOU,KALZI,KOMSILGA,CSPS DE KALZI,CSPS KALZI,,-1.639611111,12.12008333,51
CENTRE,KADIOGO,BOULMIOUGOU,PONSOMTENGA,KOMSILGA,CSPS DE PONSOMTENGA,CSPS PONSMTENGA,,-1.494916667,12.23880556,51
CENTRE,KADIOGO,BOULMIOUGOU,TAMPOUY,KOMSILGA,CSPS DE TAMPOUY,CSPS TAMPOUY,,-2.334805556,13.00969444,51
CENTRE,KADIOGO,BOULMIOUGOU,ZINGUEDESSE,KOMSILGA,CSPS DE ZINGUEDESSE,CSPS ZEGUEDESSÉ,Zinguédessé,-1.582277778,12.24536111,51
CENTRE,KADIOGO,BOULMIOUGOU,SECT 17,OUAGADOUGOU,CMA DE PISSY,CMA PISSY,,-1.569888889,12.33611111,3
CENTRE,KADIOGO,BOULMIOUGOU,BOASSA,OUAGADOUGOU,CSPS DE BOASSA,CSPS BOASSA,,-1.620361111,12.29625,51
CENTRE,KADIOGO,BOULMIOUGOU,LOUGSI,OUAGADOUGOU,CSPS DE LOUGSI,CSPS LOUGSI,,-1.647138889,12.24155556,51
CENTRE,KADIOGO,BOULMIOUGOU,VILLAGE NAGRIN,OUAGADOUGOU,CSPS DE NAGRIN,CM NAGRIN,,-1.534444444,12.28669444,4
CENTRE,KADIOGO,BOULMIOUGOU,SANDOGO,OUAGADOUGOU,CSPS DE SANDOGO,CSPS SANDOGO,,-1.976527778,12.36,51
CENTRE,KADIOGO,BOULMIOUGOU,TINTOULOU NORD,OUAGADOUGOU,CSPS DE TINTOULOU NORD,CSPS TINTILOU NORD,,-1.799361111,12.21905556,51
CENTRE,KADIOGO,BOULMIOUGOU,TINTOULOU,OUAGADOUGOU,CSPS DE TINTOULOU SUD,CSPS TINTILOU SUD,,-1.799305556,12.19380556,51
CENTRE,KADIOGO,BOULMIOUGOU,VIPALOGO,OUAGADOUGOU,CSPS DE VIPALOGO,CSPS VIPALOGHO,,-1.761694444,12.11788889,51
CENTRE,KADIOGO,BOULMIOUGOU,YIMDI,OUAGADOUGOU,CSPS DE YIMDI,CSPS YIMDI,,-1.679777778,12.29986111,51
CENTRE,KADIOGO,BOULMIOUGOU,ZAGTOULI,OUAGADOUGOU,CSPS DE ZAGTOULI,CSPS ZAGTOULI,,-1.626166667,12.32616667,51
CENTRE,KADIOGO,BOULMIOUGOU,ZONGO,OUAGADOUGOU,CSPS DE ZONGO,CSPS ZONGO,,-2.6205,12.79405556,51
CENTRE,KADIOGO,BOULMIOUGOU,SECTEUR 16,OUAGADOUGOU,CSPS DU SECTEUR 16,CSPS SECTEUR 16 OUAGADOUGOU,,-1.5314,12.31361111,51
CENTRE,KADIOGO,BOULMIOUGOU,SECT 17,OUAGADOUGOU,DISPENSAIRE PISSY 17,DISPENSAIRE DE PISSY 17,,-1.584166667,12.33444444,61
CENTRE,KADIOGO,BOULMIOUGOU,TANGHIN DASSOURI,TANGHIN DASSOURI,CMA DE TANGHIN DASSOURI,CM TANGHIN DASSOURI,,-1.719861111,12.26686111,4
CENTRE,KADIOGO,BOULMIOUGOU,BAZOULE,TANGHIN DASSOURI,CSPS DE BAZOULE,CSPS BAZOULÉ,,-1.708444444,12.31963889,51
CENTRE,KADIOGO,BOULMIOUGOU,DOUNDOULMA,TANGHIN DASSOURI,CSPS DE DOUNDOULMA,CSPS DOUDOULMA,,-1.728055556,12.40033333,51
CENTRE,KADIOGO,BOULMIOUGOU,SANE,TANGHIN DASSOURI,CSPS DE SANE,CSPS SANÉ,,-1.758055556,12.34605556,51
CENTRE,KADIOGO,BOULMIOUGOU,ZEKOUNGA,TANGHIN DASSOURI,CSPS DE ZEKOUNGA,CSPS ZEKOUNGA,,-1.674583333,12.39069444,51
CENTRE,KADIOGO,BOULMIOUGOU,KOUDIERE,TANGHIN DASSOURI,DISPENSAIRE DE KOUDIERE,CSPS KOUDIÉRÉ,,-1.757944444,12.23316667,51
CENTRE,KADIOGO,NONGR MASSOM,SONGDIN,NONGR_MASSOM,CSPS DE SONGDIN,CSPS SOGDIN,,-1.501305556,12.48313889,51
CENTRE,KADIOGO,NONGR MASSOM,SECTEUR 25,NONGR-MASSOM,CSPS DU SECTEUR 25,CSPS SECTEUR 25,,-1.509611111,12.41255556,51
CENTRE,KADIOGO,NONGR MASSOM,SECTEUR 27,NONGR-MASSOM,CSPS DU SECTEUR 27,CSPS SECTEUR 27 OUAGADOUGOU,,-1.477638889,12.39897222,51
CENTRE,KADIOGO,NONGR MASSOM,POLESGO,OUAGADOUGOU,CSPS DE POLESGO,CSPS POLESGO,,-1.514194444,12.43930556,51
CENTRE,KADIOGO,NONGR MASSOM,SAKOULA,OUAGADOUGOU,CSPS DE SAKOULA,CSPS SAKOULA,,-1.529583333,12.46205556,51
CENTRE,KADIOGO,NONGR MASSOM,ROUMTENGA,OUINDIGUI,CSPS DE ROUMTENGA,CSPS ROUMTENGA,,-2.338611111,12.89758333,51
CENTRE,KADIOGO,SIG NONGHIN,BASSINKO,OUAGADOUGOU,CSPS DE BASSINKO,CSPS BASSINKO,,-1.634722222,12.39080556,51
CENTRE,KADIOGO,SIG NONGHIN,BISSIGHIN,OUAGADOUGOU,CSPS DE BISSIGHIN,CSPS BISSIGHIN,,-2.475694444,13.59038889,51
CENTRE,KADIOGO,SIG NONGHIN,GAKAYE,PABRE,CSPS DE GASKAYE,CSPS GASKAYE,,-1.604805556,12.65069444,51
CENTRE,KADIOGO,SIG NONGHIN,GOUPANA,PABRE,CSPS DE GOUPANA,CSPS GOUPANA,,-1.588305556,12.61583333,51
CENTRE,KADIOGO,SIG NONGHIN,KODEMTORE,PABRE,CSPS DE KODEMTORE,CSPS KONDEMTORÉ,,-1.483805556,12.54733333,51
CENTRE,KADIOGO,SIG NONGHIN,NEDOGO,PABRE,CSPS DE NEDEGO,CSPS NEDOGO,,-1.653388889,12.54691667,51
CENTRE,KADIOGO,SIG NONGHIN,PABRE,PABRE,CSPS DE PABRE,CSPS PABRÉ,,-1.589638889,12.53172222,51
CENTRE,KADIOGO,SIG NONGHIN,ZIBAKO,PABRE,CSPS DE ZIBAKO,CSPS ZIBAKO,,-1.6405,12.55102778,51
CENTRE,KADIOGO,SIG NONGHIN,SABTENGA,RURAE DE PABRE,CSPS DE SABTENGA,CSPS SABTENGA,,-0.514944444,11.83602778,51
CENTRE,KADIOGO,SIG NONGHIN,SAG-NIONIOGO,RURALE DE PABRE,CSPS DE SAG-NIONIOGO,CSPS SAG-NIONIOGO,,-1.466361111,12.53405556,51
CENTRE,KADIOGO,SIG NONGHIN,YAMBA,RURALE DE PABRE,CSPS DE YAMBA,CSPS YAMBA,,0.335,12.29694444,51
CENTRE,KADIOGO,SIG NONGHIN,KAMBOINCE,SIGNOGHIN,CSPS DE KAMBOINCE,CSPS KAMBOINCÉ,,-1.555027778,12.46416667,51
CENTRE,KADIOGO,SIG NONGHIN,SECTEUR 21,SIGNOGHIN,CSPS DU SECTEUR 21,CENTRE MÉDICAL URBAIN DU SECTEUR 21,,-1.575333333,12.39475,4
CENTRE,KADIOGO,SIG NONGHIN,PAZANI,SIG-NOGHIN,CSPS DE PAZANI,CSPS PAZANI,,-1.578666667,12.4405,51
CENTRE,KADIOGO,SIG NONGHIN,ZOUMA,SIG-NOGHIN,CSPS DE ZOUMA,CSPS ZOUMA,,-1.602777778,12.60244444,51
CENTRE,KADIOGO,SIG NONGHIN,SECTEUR 20,SIG-NOGHIN,CSPS DU SECTEUR 20,CMU SECTEUR 20 OUAGADOUGOU,,-1.573222222,12.38566667,4
CENTRE,KADIOGO,SIG NONGHIN,SECTEUR 22,SIG-NOGHIN,CSPS DU SECTEUR 22,CSPS SECTEUR 22 OUAGADOUGOU,,-1.570333333,12.39961111,61
CENTRE-EST,BOLGOU,TENKODOGO,MALENGHA,TENKODOGO,CSPS DE MALENGHA,CSPS MALENGHA,,-0.48,11.93161111,51
